iter	Accuracy	MultiClass
221	0.5196742386	0.9936233753
222	0.520206534	0.9933926191
223	0.5199668478	0.9932443428
224	0.5201862442	0.9930708629
225	0.5204035027	0.9927803466
226	0.5206774356	0.9926190697
227	0.5207320124	0.992398634
228	0.5211346223	0.9921661739
229	0.5212347807	0.9919676527
230	0.5214154529	0.9918560387
231	0.5214500223	0.9916721493
232	0.5214871329	0.991455447
233	0.5217055612	0.9913247534
234	0.5217701014	0.9911866652
235	0.5220122483	0.9909534279
236	0.5225547088	0.9907290313
237	0.5229375129	0.9905601655
238	0.5229871686	0.9903715777
239	0.5229841836	0.9901431454
240	0.5230832125	0.989994316
241	0.5237537853	0.989638309
242	0.5240048871	0.9894393913
243	0.5242485264	0.9891894411
244	0.5243310572	0.9890167974
245	0.5246692883	0.988801338
246	0.524872711	0.9885782143
247	0.525141763	0.9884058745
248	0.5252534176	0.9881833358
249	0.525385604	0.9880749017
250	0.5256636917	0.9878610368
251	0.5258992232	0.9876579694
252	0.5259371002	0.9875477861
253	0.5260736431	0.9873612704
254	0.5265001733	0.987046385
255	0.5268771688	0.9868254311
256	0.5270526375	0.9866617158
257	0.5276117575	0.986425211
258	0.52785697	0.9862819358
259	0.5280280822	0.9860506733
260	0.5280213862	0.9859123917
261	0.5283058472	0.9857166385
262	0.5288581904	0.9855288294
263	0.5289738788	0.9854108999
264	0.5288912673	0.9852687109
265	0.5293203387	0.9850651599
266	0.5299814322	0.9848319279
267	0.530023222	0.9845938392
268	0.5305347032	0.984369988
269	0.5307347376	0.9841918363
270	0.5308144851	0.9840088984
271	0.5309694219	0.9838777837
272	0.5310554621	0.9836789476
273	0.5312213708	0.9835772873
274	0.5313651341	0.9834404667
275	0.5315072033	0.9832795932
276	0.5314694473	0.9831082498
277	0.5315242258	0.9829570399
278	0.5318079607	0.982736887
279	0.5317954157	0.982602857
280	0.5319209061	0.9823987
281	0.5320008553	0.9822080212
282	0.5323725262	0.9820440245
283	0.5324393254	0.98187698
284	0.5325563045	0.9816612108
285	0.5328587158	0.9813653738
286	0.5328995375	0.9812175901
287	0.5329444332	0.9810115492
288	0.5329623028	0.9809070031
289	0.5330096189	0.9807193327
290	0.5332727009	0.9805285728
291	0.5336893484	0.9802632088
292	0.5340082577	0.980080093
293	0.5343105883	0.9799486759
294	0.5349004455	0.9797890935
295	0.5352621128	0.9795890517
296	0.5351173813	0.9794045426
297	0.5352376682	0.9792251046
298	0.5353929277	0.979089971
299	0.5354759829	0.9789783901
